country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tajikistan,219,222,220,215,207,196,183,169,155,141,128,117,108,100,91,86,85,85,84,83,84
Tokelau,0,0,5.6,0,8.5,0,0,0,0,0,0,0,0,0,0,200,0,0,28,30,85
Turkmenistan,112,108,100,116,90,84,84,88,95,79,79,66,70,71,58,49,46,43,46,45,47
Timor-Leste,,,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,508
Tonga,28,14,34,18,14,21,20,26,14,8.9,12,10,12,11,15,16,9.1,12,10,11,10
Trinidad and Tobago,18,19,12,13,16,15,20,19,24,24,19,19,23,21,21,16,18,17,21,18,18
Tunisia,26,25,24,25,25,26,26,28,27,26,28,35,37,35,35,38,38,34,35,35,36
Turkey,33,31,32,31,30,33,33,31,29,27,25,24,22,20,20,18,18,17,16,16,15
Tuvalu,196,194,156,367,186,138,102,203,190,199,153,130,203,191,157,207,205,233,270,296,296
Tanzania,503,506,509,510,510,510,504,492,474,452,426,401,378,336,327,306,287,269,253,237,222
Uganda,276,266,256,248,240,233,227,222,217,213,210,207,205,203,202,202,201,201,200,200,196
Ukraine,114,119,123,126,127,127,125,123,119,115,110,105,101,96,94,91,87,84,80,77,73
Uruguay,22,24,19,22,25,22,19,21,24,24,24,28,27,30,29,30,30,31,33,35,32
USA,6.7,6.4,6,5.9,5.7,5.5,5.3,5.1,4.9,4.3,4.2,3.9,3.6,3.3,3.2,3.2,3.1,3.1,3,3,2.4
Uzbekistan,99,107,113,117,119,120,116,110,105,101,97,93,89,86,82,79,76,73,70,67,66
St. Vincent and the Grenadines,17,11,11,15,8.5,7.4,14,13,13,9.6,16,18,32,3.2,5.3,7.4,6.3,2.1,6.3,4.2,6.7
Venezuela,33,32,31,33,33,32,31,30,29,29,28,27,28,28,27,30,34,45,48,45,47
British Virgin Islands,5.7,5.6,5.4,5.3,10,0,0,0,1.4,2.8,4.1,0,0,4,0,0,0,1.9,3.9,3.9,3.9
Vietnam,296,290,284,278,272,266,260,253,246,239,231,225,218,212,205,199,193,188,182,176,176
Vanuatu,110,123,69,69,86,83,80,77,74,72,69,67,65,62,63,63,56,51,46,41,38
Wallis et Futuna,14,7.8,146,129,88,54,45,16,47,79,44,18,20,19,0,0,0,1.1,0,10,0
Samoa,28,14,20,17,22,15,16,13,7.5,10,8.7,12,13,13,14,11,7.7,18,6.4,11,6.1
Yemen,116,110,102,95,87,80,73,66,60,55,52,50,48,48,48,48,48,48,48,48,49
South Africa,762,867,971,1070,1150,1210,1250,1270,1270,1260,1230,1200,1160,1110,1070,988,805,738,677,615,554
Zambia,759,728,695,662,631,602,577,554,534,514,495,475,456,437,406,391,376,361,346,333,319
Zimbabwe,605,617,617,617,607,588,561,527,487,450,416,384,355,304,278,242,233,221,210,199,193
